ID_CLIENT,ID_SHOP,SEX,MARITAL_STATUS,AGE,QUANT_DEPENDANTS,EDUCATION,FLAG_RESIDENCIAL_PHONE,AREA_CODE_RESIDENCIAL_PHONE,PAYMENT_DAY,SHOP_RANK,RESIDENCE_TYPE,MONTHS_IN_RESIDENCE,FLAG_MOTHERS_NAME,FLAG_FATHERS_NAME,FLAG_RESIDENCE_TOWN,FLAG_RESIDENCE_STATE,MONTHS_IN_THE_JOB,PROFESSION_CODE,MATE_INCOME,FLAG_RESIDENCIAL_ADDRESS,FLAG_OTHER_CARD,QUANT_BANKING_ACCOUNTS,PERSONAL_REFERENCE_#1,PERSONAL_REFERENCE_#2,FLAG_MOBILE_PHONE,FLAG_CONTACT_PHONE,PERSONAL_NET_INCOME,COD_APPLICATION_BOOTH,QUANT_ADDITIONAL_CARDS_IN_THE_APPLICATION,FLAG_CARD_INSURANCE_OPTION,TARGET_LABEL_BAD
47,20,M,S,23,0,,N,50,3,0,O,12,Y,Y,Y,Y,24,251,0,Y,N,0,ALBA,,N,N,355,0,0,N,0
48,66,F,C,31,0,,Y,31,3,0,P,360,Y,Y,N,Y,0,720,1200,Y,N,0,ANA MARIA E. DOS SANTOS,ROSINETE GOMES DOS SANTOS,N,N,840,0,0,N,0
49,3,F,S,18,0,,Y,50,12,0,P,96,Y,Y,N,Y,12,205,0,Y,N,0,NILCE,JOANA,N,N,350,0,0,N,1
52,24,F,S,23,0,,Y,50,18,0,P,276,Y,Y,N,Y,24,950,0,Y,N,0,CRISTIANE,CLAUDIA,N,N,300,0,0,N,0
53,6,F,O,17,0,,Y,34,12,0,P,216,Y,Y,Y,Y,24,62,0,Y,N,0,MAYCOM BARCELOS,CINTIA ELEOTERIO,N,N,200,0,0,N,1
55,6,F,S,35,0,,N,50,25,0,A,12,Y,Y,N,Y,36,703,0,Y,N,0,ALESSANDRA,JOAO CARLOS SILVA FILHO,N,N,400,0,0,N,1
56,23,F,S,19,0,,Y,31,12,0,A,12,Y,N,Y,Y,12,205,0,Y,N,0,ADRINHA,,N,N,372,0,0,N,0
57,20,F,S,42,0,,Y,31,12,0,A,60,Y,Y,Y,Y,36,999,0,Y,N,0,FATIMA,SCHEILA,N,N,472,0,0,N,0
58,19,F,S,32,0,,Y,31,1,0,P,120,Y,Y,Y,Y,12,999,0,Y,N,0,GENY MARIA,RUTH,N,N,733,0,0,N,0
59,23,M,S,20,0,,Y,31,8,0,P,24,Y,Y,Y,Y,12,999,0,Y,N,0,VERA,WILSON SALES,N,N,545,0,1,N,0
60,3,F,C,53,0,,Y,31,18,0,P,240,Y,Y,N,Y,36,950,0,Y,N,0,ANTUNIETA,LIUDESCEIA,N,N,300,0,0,N,0
61,13,F,S,23,0,,Y,31,22,0,P,72,Y,Y,N,Y,24,53,0,Y,N,0,ZELIA,EUNIRA,N,N,375,0,0,N,0
62,55,F,S,21,0,,N,31,25,0,O,216,Y,Y,N,Y,0,24,0,Y,N,0,REGINA,SHENIA-IRMA,N,N,292,0,0,N,0
63,55,F,S,62,0,,Y,31,12,0,P,300,Y,Y,N,Y,48,13,0,Y,N,0,CLAUDIA MARIA,FRANCISCA EVANDRO,N,N,380,0,0,N,0
64,25,F,C,32,0,,Y,31,1,0,P,96,Y,Y,Y,Y,24,41,0,Y,N,0,VANILDA,PAULO,N,N,1805,0,0,N,0
65,20,M,S,19,0,,Y,31,12,0,P,12,Y,Y,Y,Y,12,999,0,Y,N,0,PAMELA FONTES ALVES,RENATA,N,N,240,0,0,N,1
66,24,F,S,21,0,,Y,31,8,0,A,0,Y,Y,Y,Y,12,40,0,Y,N,0,BIANCA,,N,N,410,0,0,N,0
67,1,F,O,38,0,,N,50,12,0,P,144,Y,N,Y,Y,108,205,0,Y,N,0,LUCINEIA,ROSALIA,N,N,180,0,0,N,0
70,22,F,S,18,0,,Y,31,12,0,A,12,Y,Y,Y,Y,12,801,0,Y,N,0,IRENE,ALICE,N,N,197,0,0,N,0
72,55,M,C,39,0,,Y,50,12,0,P,60,Y,Y,Y,Y,120,999,0,Y,N,0,MARLENE,KELLI,N,N,815,0,0,N,0
73,14,F,C,75,0,,Y,31,8,0,P,48,Y,Y,N,Y,0,2,0,Y,N,0,IARA,INAH,N,N,3900,0,0,N,0
74,17,F,C,38,0,,Y,31,12,0,P,96,Y,Y,N,Y,12,999,0,Y,N,0,DONA WALKIRIA,SONIA,N,N,200,0,0,N,0
76,21,F,C,40,0,,Y,31,12,0,O,156,Y,Y,Y,Y,144,131,1000,Y,N,0,JORGE LUIS,ROSE,N,N,400,0,0,N,0
77,8,F,S,23,0,,Y,31,12,0,P,216,Y,Y,N,Y,12,992,0,Y,N,0,RITA,CRISTINA,N,N,210,0,0,N,1
79,10,F,C,23,0,,Y,31,23,0,P,216,Y,Y,Y,Y,12,40,0,Y,N,0,SARA,SILVANA,N,N,277,0,0,N,0
80,10,F,S,24,0,,Y,31,18,0,P,36,Y,Y,Y,Y,0,30,0,Y,N,0,RITA,VALDA,N,N,240,0,0,N,0
81,3,M,C,32,0,,Y,31,8,0,A,48,Y,Y,N,Y,168,514,890,Y,N,0,NEUZA BRAGA,NILTON,N,N,1000,0,0,N,1
83,55,F,V,62,0,,Y,31,8,0,P,360,Y,Y,N,Y,0,13,0,Y,N,0,SUELI,VANIA,N,N,470,0,0,N,0
84,15,M,S,19,0,,Y,31,20,0,P,60,Y,Y,Y,Y,48,39,0,Y,N,0,NATALIA,JOAO,N,N,154,0,0,N,0
86,11,F,D,38,0,,Y,31,8,0,P,72,Y,Y,Y,Y,12,1,0,Y,N,0,SANDRA REGINA FERREIRA,TERESA,N,N,21193,0,0,N,0
87,20,F,C,58,0,,Y,31,25,0,A,12,Y,Y,Y,Y,12,132,0,Y,N,0,IVONE,JUSSARA,N,N,1875,0,0,N,0
88,18,M,C,34,0,,N,50,28,0,A,12,Y,Y,Y,Y,12,40,0,Y,N,0,ROSANA GOMES,JOELMAS,N,N,250,0,0,N,0
89,25,F,C,41,0,,Y,31,18,0,A,12,Y,Y,N,Y,240,501,0,Y,N,0,GENALVA,TANIA,N,N,200,0,0,N,0
90,16,F,S,20,0,,Y,31,28,0,A,24,Y,Y,N,Y,0,950,0,Y,N,0,ADRIANA ( CUNHADA ),LIANE / JOELSON,N,N,350,0,0,N,0
91,10,M,S,20,0,,Y,50,8,0,C,216,Y,Y,Y,Y,24,514,0,Y,N,0,LUCIANA,ANDERSON,N,N,764,0,1,N,0
92,21,F,S,34,0,,N,31,12,0,A,24,Y,Y,Y,Y,168,205,0,N,N,0,RAIMUNDA,NILDA,N,N,400,0,0,N,0
93,24,F,S,19,0,,Y,50,12,0,C,36,Y,N,Y,Y,12,61,0,Y,N,0,MARILDA,MARCIA,N,N,200,0,0,N,1
95,16,M,C,50,0,,Y,31,3,0,P,240,Y,Y,N,Y,324,158,0,Y,N,0,EDNA FRIAS ( IRMA ),SRA IVONE ( VIZINHA ),N,N,1518,0,1,N,0
97,17,F,S,38,0,,Y,31,12,0,P,288,Y,Y,N,Y,12,263,0,Y,N,0,DONA MARILENE,ANA MARIA,N,N,700,0,0,N,1
98,4,M,S,23,0,,Y,31,20,0,C,252,Y,Y,Y,Y,12,950,0,Y,N,0,EDNALVA SANTANA,SHIRRAN XAVIER DIAS,N,N,296,0,0,N,1
100,2,F,S,21,0,,Y,31,1,0,P,12,Y,Y,Y,Y,0,60,0,Y,N,0,IOLANDA BREGILDA,TADEU,N,N,180,0,0,N,0
102,12,F,C,57,0,,N,31,18,0,P,36,Y,Y,N,Y,0,703,0,Y,N,0,ELZA DA SILVA SILVEIRA,ROMULO,N,N,519,0,0,N,0
103,8,F,V,49,0,,Y,31,18,0,P,120,Y,Y,N,Y,0,703,0,Y,N,0,DARCI,ENEIDA,N,N,336,0,0,N,0
104,5,F,V,61,0,,Y,5,20,0,P,240,Y,Y,N,Y,0,703,0,Y,N,0,DILMA LESSA SANTOS SANCHE,,N,N,1600,0,0,N,0
105,15,F,S,19,0,,Y,31,28,0,P,228,Y,Y,Y,Y,12,999,0,Y,N,0,DINAIR SILVA,CELINA DA S OLIVEIRA,N,N,219,0,0,N,1
106,7,M,C,26,0,,Y,5,18,0,P,36,Y,Y,Y,Y,36,70,0,Y,N,0,LUCIMAR RAMOS DO VALE,CLAUDIA,N,N,2000,0,1,N,0
107,25,M,S,28,0,,Y,31,1,0,A,12,Y,N,Y,Y,12,999,0,Y,N,0,ANTONIO,JOAO CARLOS,N,N,1029,0,0,N,0
108,13,F,S,28,0,,Y,31,12,0,P,24,Y,Y,N,Y,24,992,0,Y,N,0,LUCIANA,ANA MARIA,N,N,1000,0,0,N,0
109,15,M,C,56,0,,Y,31,12,0,P,300,Y,Y,N,Y,12,13,0,Y,N,0,JOSE,KELE,N,N,306,0,0,N,0
110,20,F,S,20,0,,Y,31,8,0,P,48,Y,Y,Y,Y,12,855,0,Y,N,0,ROBERTO,MICHELE,N,N,244,0,0,N,1
111,1,M,O,28,0,,N,50,8,0,P,336,Y,Y,N,Y,12,110,0,Y,N,0,JANETI,,N,N,450,0,0,N,0
112,24,F,C,45,0,,Y,31,3,0,P,180,Y,Y,N,Y,0,720,996,Y,N,0,MARIA DE FATIMA,ELIANE,N,N,996,0,0,N,0
114,25,M,S,22,0,,Y,31,12,0,P,120,Y,Y,Y,Y,12,213,0,Y,N,0,FELIPE,REJANE,N,N,400,0,0,N,1
115,25,F,S,38,0,,Y,31,8,0,A,72,Y,Y,Y,Y,168,807,0,Y,N,0,MARLI,SARA,N,N,300,0,0,N,0
116,11,F,C,30,0,,Y,31,8,0,O,48,Y,Y,Y,Y,24,717,0,Y,N,0,ANA LUCIA SOARES PINTO,WANDY WILCIMAR DA ROCHA,N,N,1600,0,0,N,0
117,19,F,C,51,0,,Y,31,8,0,P,24,Y,Y,N,Y,0,704,0,Y,N,0,MARIA DA GLORIA,CELIA PINHEIRO MACHADO,N,N,452,0,0,N,0
118,25,F,S,37,0,,Y,31,18,0,P,156,Y,Y,Y,Y,108,999,0,Y,N,0,EDITE -TIA,ILMA-SOGRA,N,N,380,0,0,N,0
119,15,F,C,55,0,,Y,31,18,0,P,336,Y,Y,N,Y,0,656,0,Y,N,0,AMELIA,VERA LUCIA,N,N,0,0,0,N,0
120,25,F,C,48,0,,Y,31,8,0,P,156,Y,Y,Y,Y,204,999,0,Y,N,0,WANDA,ANTONIO,N,N,1300,0,1,N,0
121,25,M,O,64,0,,Y,31,8,0,P,36,Y,Y,N,Y,48,38,0,N,N,0,MARIA ISABEL,WILSON PAES,N,N,458,0,0,N,0
122,23,F,D,41,0,,Y,31,12,0,P,36,Y,Y,Y,Y,72,712,0,Y,N,0,ELIANE,ELINEIDE,N,N,820,0,0,N,0
123,22,F,C,36,0,,Y,50,3,0,P,132,Y,Y,N,Y,60,950,1200,Y,N,0,ROSIMAR,GORETI,N,N,500,0,1,N,0
124,25,F,S,52,0,,Y,31,12,0,P,360,Y,Y,Y,Y,252,251,0,Y,N,0,BETH,CREUZA,N,N,400,0,0,N,0
127,25,F,C,52,0,,Y,5,8,0,P,300,Y,Y,N,Y,60,13,0,Y,N,0,MARIA,CLAUDIA,N,N,1399,0,0,N,0
128,9,F,C,41,0,,Y,5,12,0,P,84,Y,Y,N,Y,0,720,3200,Y,N,0,NORMA SUELI,GLAUCIA JANE,N,N,0,0,0,N,0
129,25,M,S,18,0,,Y,50,20,0,P,120,Y,Y,N,Y,60,865,0,Y,N,0,TATA,MARIA,N,N,600,0,0,N,0
130,21,F,S,37,0,,Y,31,1,0,P,360,Y,Y,Y,Y,60,999,0,Y,N,0,MARIA APARECIDA,RENATA,N,N,420,0,0,N,0
131,24,F,S,19,0,,Y,31,12,0,C,228,Y,Y,Y,Y,12,46,0,Y,N,0,MARCIO,SUELI,N,N,381,0,0,N,0
132,12,M,S,25,0,,Y,31,3,0,P,120,Y,Y,N,Y,0,992,0,Y,N,0,RICARDO AZEVEDO ALVES,NEIDE MARIA,N,N,598,0,2,N,0
134,25,F,V,46,0,,Y,50,18,0,P,192,Y,Y,N,Y,84,703,0,Y,N,0,LUCREIDE,MARIA JOSE,N,N,656,0,0,N,0
135,25,F,C,34,0,,Y,31,3,0,A,72,Y,Y,N,Y,132,24,0,N,N,0,NADIR,,N,N,692,0,1,N,0
136,66,F,O,51,0,,Y,31,12,0,P,492,Y,Y,N,Y,36,950,0,Y,N,0,LUCIA AUGUSTA,ADRIANA  = VIZINHA,N,N,400,0,0,N,1
137,10,M,C,57,0,,Y,31,8,0,P,120,Y,Y,Y,Y,240,514,0,Y,N,0,MARCELO,RAUL,N,N,4000,0,1,N,0
138,3,M,C,64,0,,Y,31,8,0,P,108,Y,Y,N,Y,96,707,0,Y,N,0,GISELIA,CARLOS,N,N,449,0,1,N,0
139,55,F,S,36,0,,Y,31,18,0,P,24,Y,Y,N,Y,48,950,0,Y,N,0,MARIA HELENA,FRANCISCA,N,N,550,0,0,N,0
140,16,F,S,34,0,,N,31,28,0,C,60,Y,Y,N,Y,84,205,0,Y,N,0,ISABEL DOS SANTOS,SONIA MARIA ( AMIGA ),N,N,540,0,0,N,0
141,20,M,S,19,0,,N,50,12,0,P,180,Y,Y,Y,Y,12,63,0,Y,N,0,MARIA,LEILA,N,N,182,0,0,N,0
142,10,M,C,43,0,,Y,31,3,0,P,60,Y,Y,Y,Y,48,863,0,Y,N,0,JUREMA,,N,N,1300,0,1,N,0
144,17,M,V,50,0,,Y,31,20,0,P,12,Y,Y,N,Y,36,999,0,Y,N,0,ZELDA,ARCENIO OU VANIA,N,N,1600,0,0,N,1
145,12,M,S,49,0,,N,31,25,0,P,60,Y,Y,N,Y,0,13,0,Y,N,0,ANA MARIA FERREIRA,REIS,N,N,502,0,1,N,0
146,11,M,S,32,0,,N,50,18,0,O,12,Y,Y,Y,Y,24,26,0,Y,N,0,LUIS CESAR,,N,N,226,0,0,N,0
147,24,F,D,62,0,,Y,31,25,0,P,360,Y,Y,N,Y,12,13,0,Y,N,0,ALDA,SOLANGE,N,N,727,0,0,N,0
148,13,F,S,22,0,,Y,31,28,0,P,264,Y,Y,N,Y,0,100,0,Y,N,0,GLORIA MARIA,SONIA,N,N,380,0,0,N,0
149,3,F,C,19,0,,Y,31,12,0,P,144,Y,Y,Y,Y,0,999,0,Y,N,0,MARIA MADALENA,SABINA ISABELA,N,N,701,0,1,N,0
151,25,M,S,22,0,,N,50,8,0,A,24,Y,Y,Y,Y,0,999,0,Y,N,0,LINDAURA,,N,N,202,0,0,N,0
152,8,M,S,22,0,,Y,31,8,0,P,264,Y,Y,N,Y,12,118,0,Y,N,0,CARLA,ADRIANA,N,N,350,0,0,N,0
153,7,M,S,21,0,,Y,5,20,0,P,228,Y,Y,Y,Y,12,806,0,Y,N,0,JOSE MARCOS,CLEONICE DE JESUS,N,N,300,0,0,N,1
154,25,F,S,36,0,,Y,50,12,0,A,36,Y,Y,Y,Y,24,125,0,Y,N,0,MARCIA,,N,N,2164,0,0,N,1
156,55,F,S,47,0,,Y,31,12,0,P,456,Y,Y,N,Y,36,13,0,Y,N,0,CLEA NEPOMUCENO,NELIA NUNES,N,N,1030,0,0,N,0
157,22,F,S,18,0,,N,50,25,0,P,156,Y,N,Y,Y,12,806,0,Y,N,0,CLAUDIO,,N,N,293,0,0,N,0
158,12,M,S,21,0,,Y,31,8,0,P,60,Y,Y,Y,Y,12,265,0,Y,N,0,MARIA DO CARMO SALES,CLAUDIA,N,N,296,0,0,N,0
160,21,F,S,36,0,,Y,31,12,0,O,180,Y,Y,Y,Y,180,40,0,N,N,0,FRANCISCA MARIA FARIAS,CELMA,N,N,382,0,0,N,0
161,6,F,S,36,0,,Y,5,20,0,P,384,Y,Y,N,Y,24,950,0,Y,N,0,EV RANGEL,ELECIL BERNADE ROCHA,N,N,180,0,0,N,0
162,22,M,S,27,0,,N,50,18,0,P,48,Y,Y,Y,Y,24,999,0,Y,N,0,ANA PAULA,PRISCILA,N,N,575,0,0,N,1
163,55,F,S,28,0,,N,50,12,0,A,12,Y,Y,Y,Y,24,801,0,Y,N,0,LILIAN = VIZINHA,BERNARDO OU VALERIA,N,N,700,0,0,N,0
164,9,F,S,45,0,,Y,5,12,0,A,120,Y,Y,Y,Y,216,117,0,Y,N,0,IRACI LOURDES  SANCHES,NOEMIA B PAIVA,N,N,2000,0,0,N,0
165,15,F,C,40,0,,Y,31,8,0,P,36,Y,N,Y,Y,12,855,0,Y,N,0,SANDRA,ELZA,N,N,291,0,0,N,0
166,25,M,O,30,0,,Y,31,12,0,P,12,Y,Y,Y,Y,0,992,0,Y,N,0,MANOEL PAI,ELMA IRMA,N,N,270,0,0,N,0
167,16,M,S,21,0,,Y,31,28,0,A,36,Y,Y,N,Y,12,707,0,Y,N,0,CLEONICE,REGINA CELIA,N,N,378,0,0,N,0
168,25,F,S,27,0,,Y,31,12,0,P,36,Y,Y,N,Y,0,654,0,Y,N,0,PENHA,MARCELO,N,N,669,0,0,N,1
169,25,F,S,31,0,,Y,31,18,0,P,240,Y,Y,N,Y,36,999,0,Y,N,0,MARIA DA CONCEICAO,NILCEIA CARVALHO,N,N,1520,0,2,N,0
170,22,M,C,74,0,,N,50,8,0,P,360,Y,Y,N,Y,12,13,0,Y,N,0,ROSANGELA,,N,N,1316,0,1,N,1
172,55,M,C,24,0,,Y,31,23,0,P,96,Y,Y,Y,Y,60,110,460,Y,N,0,APARECIDA = VIZINHA,ELIZABEL    TIA,N,N,476,0,1,N,0
173,55,F,S,34,0,,Y,31,3,0,P,240,Y,Y,N,Y,48,13,0,Y,N,0,MARLI (AMIGA),LUIZ (VIZ),N,N,250,0,0,N,1
174,55,F,S,23,0,,Y,31,25,0,C,24,Y,Y,Y,Y,12,266,0,Y,N,0,IRENE,NILZA,N,N,450,0,0,N,0
176,25,M,C,31,0,,N,50,18,0,P,36,Y,Y,Y,Y,0,953,0,Y,N,0,DULCINEIA,VIEIRA,N,N,705,0,0,N,0
178,6,F,C,31,0,,N,50,1,0,P,12,Y,Y,Y,Y,12,251,200,Y,N,0,CREUZA PIMENTEL,CLAUDIA FREITAS,N,N,180,0,0,N,0
179,7,M,C,43,0,,Y,5,18,0,P,72,Y,Y,N,Y,216,514,0,Y,N,0,CARLOS ROBERTO,ALCEDINO DIDINA,N,N,1050,0,0,N,0
180,55,F,S,19,0,,N,50,20,0,O,24,Y,Y,Y,Y,12,61,0,N,N,0,DAPHNE,JANE AMIGA,N,N,500,0,0,N,1
181,17,F,S,22,0,,Y,31,25,0,P,120,Y,Y,N,Y,36,61,0,Y,N,0,DENAIR PEREIRA,LUIZ CARLOS,N,N,350,0,0,N,0
183,7,M,S,20,0,,Y,1,3,0,C,240,Y,Y,N,N,24,514,0,N,N,0,GILDSON  BORGES SILVA,,N,N,350,0,0,N,0
184,22,M,C,38,0,,Y,31,20,0,P,60,Y,Y,N,Y,36,167,0,Y,N,0,IRACEMA,ROSANGELA,N,N,962,0,1,N,1
185,8,F,S,38,0,,Y,31,8,0,P,36,Y,Y,N,Y,24,501,0,Y,N,0,JOSIAS,JOGI,N,N,700,0,0,N,0
186,24,M,S,19,0,,N,31,12,0,P,180,Y,Y,N,Y,36,254,0,Y,N,0,LAUREDIR,EGIDIA,N,N,255,0,0,N,1
188,25,F,C,27,0,,Y,31,3,0,C,60,Y,Y,Y,Y,108,863,1800,Y,N,0,DELZA MENDONCA REIS,ALESSANDRA,N,N,1300,0,0,N,0
189,25,F,S,37,0,,Y,31,8,0,P,360,Y,Y,Y,Y,60,205,0,Y,N,0,DAYANA -PRIMA,MARINEZ -IRMA,N,N,550,0,0,N,0
191,17,M,C,39,0,,Y,31,25,0,P,72,Y,Y,Y,Y,72,999,0,Y,N,0,CHARLES SILVA SANTIAGO,RAIMUNDO,N,N,340,0,0,N,0
192,25,F,C,43,0,,Y,31,8,0,A,36,Y,Y,N,Y,12,992,0,Y,N,0,ROSE ELAINE,ELENICE,N,N,570,0,0,N,0
195,22,F,C,26,0,,N,31,20,0,P,36,Y,Y,N,Y,12,165,0,Y,N,0,D NEN,TIANA,N,N,180,0,0,N,0
196,3,M,O,24,0,,Y,31,12,0,P,72,Y,N,N,Y,60,706,0,Y,N,0,AUNEA,,N,N,480,0,0,N,1
